bin,n,bad,good,bad_rate,good_pct,bad_pct,woe,iv_part,var
"04: (682.0, 687.0]",11276,1677,9599,0.1487229514012061,0.06844319275605147,0.07517365001120323,-0.09379667238961659,0.0006312944941937874,fico
"05: (687.0, 692.0]",10408,1379,9029,0.13249423520368947,0.0643791665181277,0.06181940398834864,0.040572783925067316,0.00010385669202020925,fico
"06: (692.0, 702.0]",17667,2236,15431,0.12656364974245768,0.11002459805354532,0.10022406453058481,0.09329563467041271,0.0009143469951332564,fico
"07: (702.0, 717.0]",19080,1990,17090,0.10429769392033543,0.12185305336708138,0.08920008962581223,0.31193379380666636,0.010185562858845604,fico
"08: (717.0, 737.0]",14006,1139,12867,0.0813222904469513,0.09174360985348116,0.05106430652027784,0.5859120865311808,0.023834495494591976,fico
"09: (737.0, inf]",13982,772,13210,0.05521384637390931,0.09418915546682828,0.0346179699753529,1.0009321418317334,0.059626714285437935,fico
"00: (-inf, 96.0]",16452,2909,13543,0.17681740821784586,0.0965634023742469,0.13038315034730003,-0.30027761399107117,0.010155313227127757,credit_age_months
"01: (96.0, 124.0]",16388,2534,13854,0.154625335611423,0.09878079212862287,0.1135783105534394,-0.13958938563135856,0.0020655765057888474,credit_age_months
"02: (124.0, 144.0]",16237,2426,13811,0.14941183716203732,0.09847420769313037,0.10873851669280753,-0.0991514077060729,0.0010177206864481034,credit_age_months
"03: (144.0, 178.0]",32265,4407,27858,0.13658763365876336,0.1986274999108766,0.19751288371050862,0.005627394670592506,6.272385265706867e-06,credit_age_months
"04: (178.0, 200.0]",16402,2191,14211,0.13358127057675892,0.10132615593026986,0.09820748375532153,0.03126215881644961,9.74964248296772e-05,credit_age_months
"05: (200.0, 227.0]",16394,2189,14205,0.1335244601683543,0.10128337670671278,0.09811785794308761,0.03175290999101554,0.0001005144323762608,credit_age_months
"06: (227.0, 323.0]",32359,3802,28557,0.11749436014709973,0.20361127945527788,0.1704010755097468,0.17805775716466424,0.005913334429522344,credit_age_months
"07: (323.0, inf]",16073,1857,14216,0.11553536987494556,0.10136180528323412,0.08323997311225632,0.19696866795166704,0.003569433143561162,credit_age_months
"00: (-inf, 0.0]",86569,10418,76151,0.12034330996084049,0.5429503404513208,0.4668832623795653,0.15093860877360446,0.011481458937623939,inq_last_6mths
"01: (0.0, 1.0]",45833,6660,39173,0.14531014771016518,0.2793019856689601,0.2984763611920233,-0.06639715533594656,0.0012731239900746006,inq_last_6mths
"02: (1.0, 2.0]",18893,3191,15702,0.16889853384851533,0.11195679298420734,0.14302038987228322,-0.24487418667756608,0.007606673023247352,inq_last_6mths
"03: (2.0, inf]",11275,2046,9229,0.18146341463414634,0.06580514063669744,0.09170961236836209,-0.33192923739379304,0.008598451546980515,inq_last_6mths
"00: (-inf, 0.0]",128739,17350,111389,0.13476879578061038,0.7941927204021247,0.7775263275823437,0.021208647382325668,0.0003534716484500595,delinq_2yrs
"01: (0.0, 1.0]",21961,3105,18856,0.14138700423477985,0.13444440483405226,0.13916647994622452,-0.03452014728635236,0.0001630067283694054,delinq_2yrs
"02: (1.0, inf]",11870,1860,10010,0.15669755686604886,0.0713735695697123,0.08337441183060722,-0.15541382298491313,0.001865096774804587,delinq_2yrs
"00: (-inf, 0.0]",79535,10548,68987,0.1326208587414346,0.4918719475241524,0.47270894017477033,0.03973856273688867,0.0007615103697808788,ever_delinq
"01: (0.0, 1.0]",83035,11767,71268,0.14171132654904559,0.5081351823464404,0.5273358727313466,-0.03709015603458311,0.0007121566023478921,ever_delinq
"00: (-inf, 6.0]",24514,3249,21265,0.13253650974953088,0.15162026309222487,0.14561953842706699,0.040381806581402356,0.00024232010277665616,open_acc
"01: (6.0, 8.0]",27441,3719,23722,0.13552713093546154,0.16913835513885422,0.166681604302039,0.01463161790652759,3.594623953582244e-05,open_acc
"02: (8.0, 10.0]",29666,4075,25591,0.13736263736263737,0.1824640832768885,0.18263499887967735,-0.0009362697614284527,1.6002311064750772e-07,open_acc
"03: (10.0, 15.0]",51096,7099,43997,0.13893455456395803,0.3136964814088624,0.31814922697736947,-0.014094641220036392,6.275985123221391e-05,open_acc
"04: (15.0, 18.0]",14595,2036,12559,0.1394998287084618,0.08954760971088374,0.09126148330719247,-0.018958393085861076,3.249228933829927e-05,open_acc
"05: (18.0, inf]",15258,2137,13121,0.14005767466247215,0.09355459698406474,0.0957875868250056,-0.023587911889625262,5.2671567618541414e-05,open_acc
"00: (-inf, 11.0]",16384,2614,13770,0.1595458984375,0.09818188299882358,0.11716334304279633,-0.17674734805407205,0.003354922724966513,total_acc
"01: (11.0, 15.0]",18521,2819,15702,0.15220560444900383,0.11195679298420734,0.12634998879677348,-0.12094272522869101,0.0017407523263219323,total_acc
"02: (15.0, 18.0]",16660,2388,14272,0.14333733493397358,0.10176107803643364,0.10703562626036299,-0.05053404130159234,0.00026654423779528635,total_acc
"03: (18.0, 21.0]",17508,2470,15038,0.1410783641763765,0.10722255891055578,0.11071028456195384,-0.03201007610828726,0.00011164236354607759,total_acc
"04: (21.0, 24.0]",17133,2258,14875,0.1317924473238779,0.10606039000392142,0.10120994846515796,0.046811591889640604,0.00022705688979715553,total_acc
"05: (24.0, 27.0]",15655,2025,13630,0.12935164484190353,0.09718370111582475,0.09076854133990589,0.06829024885077623,0.0004380928575149888,total_acc
"06: (27.0, 30.0]",13396,1723,11673,0.12862048372648552,0.08323054436561976,0.07723504369258347,0.07476111235858217,0.0004482302994628214,total_acc
"07: (30.0, inf]",47313,6018,41295,0.1271954853845666,0.29443157106698514,0.2697064754649339,0.08771238004512685,0.002168696982099211,total_acc
"00: (-inf, 0.0]",131792,17611,114181,0.13362723078790822,0.8140993190973583,0.7892224960788707,0.03103409353545766,0.0007720296524207701,pub_rec
"01: (0.0, 1.0]",25785,3930,21855,0.15241419429901104,0.15582688674200562,0.1761371274927179,-0.12251713444814467,0.002488352496729203,pub_rec
"02: (1.0, inf]",4993,774,4219,0.1550170238333667,0.03008448896652526,0.03470759578758682,-0.14294883956889198,0.0006608677552737798,pub_rec
"00: (-inf, 0.0]",140359,18901,121458,0.13466183144650504,0.8659833874015187,0.8470311449697513,0.02212826034268817,0.00041938015460789074,pub_rec_bankruptcies
"01: (0.0, 1.0]",20938,3178,17760,0.151781449995224,0.12663006666429005,0.1424378220927627,-0.11763559338343169,0.0018595546898885439,pub_rec_bankruptcies
"02: (1.0, inf]",1273,236,1037,0.18538884524744698,0.007397240740080567,0.01059825229666144,-0.35958205213712435,0.0011510263044300006,pub_rec_bankruptcies
"00: (-inf, 3128.0]",16264,2513,13751,0.15451303492375798,0.09804641545755945,0.1126372395249832,-0.1387313913887922,0.002024205324382773,revol_bal
"01: (3128.0, 6447.0]",32510,4887,27623,0.15032297754537066,0.19695198032155717,0.21902307864665024,-0.10621716190031585,0.0023443294241142013,revol_bal
"02: (6447.0, 8241.0]",16259,2432,13827,0.14957869487668368,0.09858828562261594,0.1090073941295093,-0.10046326850131715,0.001046737695472385,revol_bal
"03: (8241.0, 10314.0]",16256,2347,13909,0.14437746062992127,0.09917293501122955,0.10519829710956756,-0.058981968484017606,0.00035538771738896673,revol_bal
"04: (10314.0, 12859.0]",16261,2281,13980,0.14027427587479244,0.0996791558233218,0.10224064530584809,-0.02537271615009899,6.499194556160332e-05,revol_bal
"05: (12859.0, 16167.0]",16251,2171,14080,0.13359177896744814,0.10039214288260669,0.09731122563298229,0.031169592160289864,9.603093415039429e-05,revol_bal
"06: (16167.0, 21128.400000000023]",16255,2152,14103,0.13239003383574285,0.1005561299062422,0.09645978041676002,0.04158993990152622,0.00017036692908321133,revol_bal
"07: (21128.400000000023, 30495.20000000001]",16257,1893,14364,0.11644214799778557,0.10241702613097572,0.08485323773246695,0.18812982033364184,0.0033042723557895593,revol_bal
"08: (30495.20000000001, inf]",16257,1639,14618,0.10081810912222428,0.1042280132615593,0.07347075957875868,0.34969343626621413,0.010755609730450219,revol_bal
"00: (-inf, 22.9]",16289,1741,14548,0.10688194487077168,0.1037289223200599,0.07804167600268877,0.28453798838566147,0.007308997394311771,revol_util
"01: (22.9, 33.0]",16467,1945,14522,0.11811501791461711,0.10354354568464583,0.08718350885054896,0.17197706113208927,0.0028135510547407094,revol_util
"02: (33.0, 40.8]",16050,1983,14067,0.12355140186915888,0.10029945456489965,0.08888639928299351,0.12080111504305928,0.0013787098041023393,revol_util
"03: (40.8, 47.8]",16397,2215,14182,0.1350856864060499,0.10111938968307725,0.09928299350212862,0.018327602251187923,3.365673878002711e-05,revol_util
"04: (47.8, 60.8]",32408,4590,27818,0.1416316958775611,0.19834230508716266,0.20571364552991261,-0.03649077991451305,0.00026898596177133766,revol_util
"05: (60.8, 85.3]",48685,7263,41422,0.1491835267536202,0.29533706463227694,0.3254985435805512,-0.09724069117947585,0.0029329230599253993,revol_util
"06: (85.3, inf]",16197,2564,13633,0.1583009199234426,0.09720509072760329,0.11492269773694824,-0.16743662491237843,0.0029665763191686176,revol_util
MISSING,77,14,63,0.18181818181818182,0.000452746782645895,0.0006497871386959445,-0.3613118398378728,7.11930135667529e-05,revol_util
"00: (-inf, 0.0]",68984,11374,57610,0.16487881247825584,0.4107554097893123,0.5097244006273807,-0.21587226138154758,0.021364659858863485,mort_acc
"01: (0.0, 1.0]",25742,3425,22317,0.13305104498484965,0.15912088695590176,0.15350660990365225,0.03592058130057343,0.00020166809529927228,mort_acc
